[2024-03-18 / 20:10:00.251] [27] [mainPoll] Cycle iteration time: 3.8357ms (Average: 5.986896ms); Sleeping
[2024-03-18 / 20:10:00.503] [53] [walletPoll] Cycle iteration time: 5.2661ms (Average: 30.250769ms); Sleeping
[2024-03-18 / 20:10:08.759] [27] [dirtyPoll] Cycle iteration time: 8.5111268s (Average: 6.125940033s); Sleeping
[2024-03-18 / 20:11:00.502] [54] [walletPoll] Cycle iteration time: 2.6131ms (Average: 29.738961ms); Sleeping
[2024-03-18 / 20:11:40.207] [2] [neighborPoll] Cycle iteration time: 3m40.1905707s (Average: 4m8.8093336s); Sleeping
[2024-03-18 / 20:12:00.287] [28] [mainPoll] Cycle iteration time: 24.8717ms (Average: 6.661353ms); Sleeping
[2024-03-18 / 20:12:00.512] [55] [walletPoll] Cycle iteration time: 845.6µs (Average: 29.213627ms); Sleeping
[2024-03-18 / 20:12:08.911] [28] [dirtyPoll] Cycle iteration time: 8.6495487s (Average: 6.216068914s); Sleeping
[2024-03-18 / 20:13:00.519] [56] [walletPoll] Cycle iteration time: 392.1µs (Average: 28.698957ms); Sleeping
[2024-03-18 / 20:14:00.264] [29] [mainPoll] Cycle iteration time: 1.1681ms (Average: 6.471931ms); Sleeping
[2024-03-18 / 20:14:00.532] [57] [walletPoll] Cycle iteration time: 2.4941ms (Average: 28.239222ms); Sleeping
[2024-03-18 / 20:14:08.469] [29] [dirtyPoll] Cycle iteration time: 8.2064228s (Average: 6.284701806s); Sleeping
[2024-03-18 / 20:15:00.538] [58] [walletPoll] Cycle iteration time: 916.2µs (Average: 27.768136ms); Sleeping
[2024-03-18 / 20:16:00.281] [30] [mainPoll] Cycle iteration time: 2.9403ms (Average: 6.35421ms); Sleeping
[2024-03-18 / 20:16:00.544] [59] [walletPoll] Cycle iteration time: 1.044ms (Average: 27.315184ms); Sleeping
[2024-03-18 / 20:16:08.559] [30] [dirtyPoll] Cycle iteration time: 8.2827556s (Average: 6.3513036s); Sleeping
[2024-03-18 / 20:17:00.550] [60] [walletPoll] Cycle iteration time: 0s (Average: 26.859931ms); Sleeping
[2024-03-18 / 20:18:00.281] [31] [mainPoll] Cycle iteration time: 1.0445ms (Average: 6.182929ms); Sleeping
[2024-03-18 / 20:18:00.563] [61] [walletPoll] Cycle iteration time: 472.4µs (Average: 26.427349ms); Sleeping
[2024-03-18 / 20:18:08.545] [31] [dirtyPoll] Cycle iteration time: 8.2651473s (Average: 6.413040493s); Sleeping
[2024-03-18 / 20:19:00.568] [62] [walletPoll] Cycle iteration time: 0s (Average: 26.001101ms); Sleeping
[2024-03-18 / 20:20:00.296] [32] [mainPoll] Cycle iteration time: 1.002ms (Average: 6.021025ms); Sleeping
[2024-03-18 / 20:20:00.576] [63] [walletPoll] Cycle iteration time: 90.1µs (Average: 25.589815ms); Sleeping
[2024-03-18 / 20:20:08.609] [32] [dirtyPoll] Cycle iteration time: 8.3173519s (Average: 6.472550225s); Sleeping
[2024-03-18 / 20:21:00.582] [64] [walletPoll] Cycle iteration time: 181.2µs (Average: 25.192806ms); Sleeping
[2024-03-18 / 20:22:00.307] [33] [mainPoll] Cycle iteration time: 0s (Average: 5.838569ms); Sleeping
[2024-03-18 / 20:22:00.591] [65] [walletPoll] Cycle iteration time: 81.3µs (Average: 24.806475ms); Sleeping
[2024-03-18 / 20:22:08.560] [33] [dirtyPoll] Cycle iteration time: 8.2679433s (Average: 6.526956075s); Sleeping
[2024-03-18 / 20:23:00.605] [66] [walletPoll] Cycle iteration time: 0s (Average: 24.430619ms); Sleeping
[2024-03-18 / 20:24:00.309] [34] [mainPoll] Cycle iteration time: 513.2µs (Average: 5.681941ms); Sleeping
[2024-03-18 / 20:24:00.609] [67] [walletPoll] Cycle iteration time: 0s (Average: 24.065983ms); Sleeping
[2024-03-18 / 20:24:08.594] [34] [dirtyPoll] Cycle iteration time: 8.2866052s (Average: 6.578710461s); Sleeping
[2024-03-18 / 20:25:00.613] [68] [walletPoll] Cycle iteration time: 0s (Average: 23.712072ms); Sleeping
[2024-03-18 / 20:26:00.320] [35] [mainPoll] Cycle iteration time: 520.7µs (Average: 5.534477ms); Sleeping
[2024-03-18 / 20:26:00.620] [69] [walletPoll] Cycle iteration time: 0s (Average: 23.368418ms); Sleeping
[2024-03-18 / 20:26:08.480] [35] [dirtyPoll] Cycle iteration time: 8.1598207s (Average: 6.62388504s); Sleeping
[2024-03-18 / 20:27:00.630] [70] [walletPoll] Cycle iteration time: 0s (Average: 23.034584ms); Sleeping
[2024-03-18 / 20:28:00.325] [36] [mainPoll] Cycle iteration time: 1.3609ms (Average: 5.418544ms); Sleeping
[2024-03-18 / 20:28:00.637] [71] [walletPoll] Cycle iteration time: 510.8µs (Average: 22.717347ms); Sleeping
[2024-03-18 / 20:28:08.580] [36] [dirtyPoll] Cycle iteration time: 8.2563185s (Average: 6.669230413s); Sleeping
[2024-03-18 / 20:29:00.645] [72] [walletPoll] Cycle iteration time: 0s (Average: 22.401829ms); Sleeping
[2024-03-18 / 20:30:00.325] [37] [mainPoll] Cycle iteration time: 511.3µs (Average: 5.285916ms); Sleeping
[2024-03-18 / 20:30:00.658] [73] [walletPoll] Cycle iteration time: 0s (Average: 22.094954ms); Sleeping
[2024-03-18 / 20:30:08.519] [37] [dirtyPoll] Cycle iteration time: 8.1950783s (Average: 6.710469545s); Sleeping
[2024-03-18 / 20:31:00.663] [74] [walletPoll] Cycle iteration time: 559.7µs (Average: 21.803937ms); Sleeping
